,Property Types,Price,Street Addresses,City,State,Zipcode,Sqft Area,Beds,Baths,Links
226,House for Sale,"359,900","1730 San Martin Dr,",Fenton,MO,63026,"2,020",4,3,https://www.realtor.com//realestateandhomes-detail/1730-San-Martin-Dr_Fenton_MO_63026_M85311-31630
227,House for Sale,"309,955","1265 Parkspur Ln,",Fenton,MO,63026,"1,704",4,3,https://www.realtor.com//realestateandhomes-detail/1265-Parkspur-Ln_Fenton_MO_63026_M86632-07908
228,House for Sale,"189,900","1002 San Luis Dr,",Fenton,MO,63026,936,3,1.5,https://www.realtor.com//realestateandhomes-detail/1002-San-Luis-Dr_Fenton_MO_63026_M75336-52857
229,House for Sale,"129,845","18 North Dr,",Fenton,MO,63026,912,3,1,https://www.realtor.com//realestateandhomes-detail/18-North-Dr_Fenton_MO_63026_M84348-78072
230,House for Sale,"184,900","2226 Guebert Rd,",Fenton,MO,63026,864,3,2,https://www.realtor.com//realestateandhomes-detail/2226-Guebert-Rd_Fenton_MO_63026_M85402-24704
231,House for Sale,"398,000","104 Maple Dr,",Fenton,MO,63026,"2,216",4,3.5,https://www.realtor.com//realestateandhomes-detail/104-Maple-Dr_Fenton_MO_63026_M85127-22958
232,House for Sale,"269,900","1194 Winter Park Dr,",Fenton,MO,63026,"1,904",3,2.5,https://www.realtor.com//realestateandhomes-detail/1194-Winter-Park-Dr_Fenton_MO_63026_M86787-24358
233,House for Sale,"440,000","2111 Avalon Ridge Cir,",Fenton,MO,63026,"2,952",4,3.5,https://www.realtor.com//realestateandhomes-detail/2111-Avalon-Ridge-Cir_Fenton_MO_63026_M75526-34184
234,House for Sale,"214,900","112 Keystone Dr,",Fenton,MO,63026,"1,344",3,2,https://www.realtor.com//realestateandhomes-detail/112-Keystone-Dr_Fenton_MO_63026_M80810-85365
235,House for Sale,"494,900","1548 Fenton Hills Rd,",Fenton,MO,63026,"2,818",4,2.5,https://www.realtor.com//realestateandhomes-detail/1548-Fenton-Hills-Rd_Fenton_MO_63026_M86172-79117
236,House for Sale,"240,000","410 Winter Bluff Dr,",Fenton,MO,63026,"1,478",3,3,https://www.realtor.com//realestateandhomes-detail/410-Winter-Bluff-Dr_Fenton_MO_63026_M82114-29036
237,House for Sale,"367,000","1255 Lake Canyon Vw,",Fenton,MO,63026,"2,548",5,3.5,https://www.realtor.com//realestateandhomes-detail/1255-Lake-Canyon-Vw_Fenton_MO_63026_M76912-47563
238,House for Sale,"189,900","56 Sparrow Point Cir,",Fenton,MO,63026,"1,189",4,3,https://www.realtor.com//realestateandhomes-detail/56-Sparrow-Point-Cir_Fenton_MO_63026_M86551-16827
239,House for Sale,"369,900","911 Arlington Glen Dr,",Fenton,MO,63026,"1,978",3,2.5,https://www.realtor.com//realestateandhomes-detail/911-Arlington-Glen-Dr_Fenton_MO_63026_M74729-47004
240,House for Sale,"350,000","1399 Mosswoods Dr,",Fenton,MO,63026,"2,105",5,3,https://www.realtor.com//realestateandhomes-detail/1399-Mosswoods-Dr_Fenton_MO_63026_M86519-79487
241,House for Sale,"249,900","721 Wisdom Ct,",Fenton,MO,63026,"1,192",3,2.5,https://www.realtor.com//realestateandhomes-detail/721-Wisdom-Ct_Fenton_MO_63026_M79336-69000
242,House for Sale,"105,000","1062 Deleon Ct,",Fenton,MO,63026,888,3,1,https://www.realtor.com//realestateandhomes-detail/1062-Deleon-Ct_Fenton_MO_63026_M75194-13262
243,House for Sale,"511,900","671 Summit Rd,",Fenton,MO,63026,"2,261",3,2.5,https://www.realtor.com//realestateandhomes-detail/671-Summit-Rd_Fenton_MO_63026_M95316-25746?ex=MO2328038791
244,House for Sale,"120,000","1898 San Luis Rey Pkwy,",Fenton,MO,63026,839,3,1.5,https://www.realtor.com//realestateandhomes-detail/1898-San-Luis-Rey-Pkwy_Fenton_MO_63026_M71127-26180
245,Condo/Townhome,"119,900","1456 Durango Ct,",Fenton,MO,63026,"1,152",2,1.5,https://www.realtor.com//realestateandhomes-detail/1456-Durango-Ct_Fenton_MO_63026_M74449-18461
246,House for Sale,"209,900","66 Forest Knoll Dr,",Fenton,MO,63026,"1,349",3,3,https://www.realtor.com//realestateandhomes-detail/66-Forest-Knoll-Dr_Fenton_MO_63026_M75876-09234
247,House for Sale,"228,990","The Tremont,",Fenton,MO,63026,"1,352",3,2,https://www.realtor.com//realestateandhomes-detail/The-Tremont_Hartford-Glen_1-San-Marino-Pkwy_Fenton_MO_63026_P414229412497
