,Property Types,Price,Street Addresses,City,State,Zipcode,Sqft Area,Beds,Baths,Links
468,House for Sale,"$164,900","11025 Pine Forest Dr,",Saint Louis,MO,63126,864,3,2,https://www.realtor.com//realestateandhomes-detail/11025-Pine-Forest-Dr_Saint-Louis_MO_63126_M74494-35343
469,House for Sale,"$484,900","10213 Albury Ct,",Saint Louis,MO,63126,"3,472",4,2.5,https://www.realtor.com//realestateandhomes-detail/10213-Albury-Ct_Saint-Louis_MO_63126_M79796-29003
470,House for Sale,"$259,000","8928 Red Oak Dr,",Saint Louis,MO,63126,"1,427",3,2,https://www.realtor.com//realestateandhomes-detail/8928-Red-Oak-Dr_Saint-Louis_MO_63126_M75671-72793
471,House for Sale,"$249,000","10532 Wisteria Ln,",Saint Louis,MO,63126,"1,524",2,2,https://www.realtor.com//realestateandhomes-detail/10532-Wisteria-Ln_Saint-Louis_MO_63126_M79214-11470
472,House for Sale,"$305,000","1416 Fox Creek Dr,",Saint Louis,MO,63126,"1,947",4,2.5,https://www.realtor.com//realestateandhomes-detail/1416-Fox-Creek-Dr_Saint-Louis_MO_63126_M74064-53190
473,House for Sale,"$430,900","9036 Laurel Crest Dr,",Saint Louis,MO,63126,"3,180",4,2.5+,https://www.realtor.com//realestateandhomes-detail/9036-Laurel-Crest-Dr_Saint-Louis_MO_63126_M73616-48154
474,House for Sale,"$174,900","9700 Twincrest Dr,",Saint Louis,MO,63126,"1,336",3,1,https://www.realtor.com//realestateandhomes-detail/9700-Twincrest-Dr_Saint-Louis_MO_63126_M89098-12914
475,House for Sale,"$170,000","907 Volz Dr,",Crestwood,MO,63126,"1,170",3,1,https://www.realtor.com//realestateandhomes-detail/907-Volz-Dr_Saint-Louis_MO_63126_M73265-24561
476,House for Sale,"$199,000","9530 Spitz Ln,",Saint Louis,MO,63126,"1,395",2,1,https://www.realtor.com//realestateandhomes-detail/9530-Spitz-Ln_Saint-Louis_MO_63126_M76477-79026
477,House for Sale,"$165,000","1036 Sanders Dr,",Crestwood,MO,63126,873,2,1,https://www.realtor.com//realestateandhomes-detail/1036-Sanders-Dr_Saint-Louis_MO_63126_M76586-17302
478,House for Sale,"$635,000","9544 Parkfield Place Dr,",Saint Louis,MO,63126,"4,158",4,3.5,https://www.realtor.com//realestateandhomes-detail/9544-Parkfield-Place-Dr_Saint-Louis_MO_63126_M86830-64694
479,Land,"$36,400","1120 Tahiti Dr,",Saint Louis,MO,63126,0,"8,059",0,https://www.realtor.com//realestateandhomes-detail/1120-Tahiti-Dr_Saint-Louis_MO_63126_M97334-93583
480,House for Sale,"$253,900","Prinz III,",Saint Louis,MO,63126,"1,401",2,2,https://www.realtor.com//realestateandhomes-detail/Prinz-III_The-Villas-at-Vista-Conn_2205-Hagenstone-Ter_Saint-Louis_MO_63126_P412248184303
481,House for Sale,"$267,100","Wallis IV Villa,",Saint Louis,MO,63126,"1,457",2,2,https://www.realtor.com//realestateandhomes-detail/Wallis-IV-Villa_The-Villas-at-Vista-Conn_2205-Hagenstone-Ter_Saint-Louis_MO_63126_P414961540935
482,House for Sale,"$269,900","9345 Arban Dr,",Saint Louis,MO,63126,"1,280",3,2,https://www.realtor.com//realestateandhomes-detail/9345-Arban-Dr_Saint-Louis_MO_63126_M78482-18897
483,Land,"$299,999","18 Sappington Acres Dr,",Saint Louis,MO,63126,0,0.95,yes,https://www.realtor.com//realestateandhomes-detail/18-Sappington-Acres-Dr_Saint-Louis_MO_63126_M82261-10075?ex=MO2381675619
484,House for Sale,"$454,900","8680 Pardee Rd,",Crestwood,MO,63126,"2,350",3,2.5,https://www.realtor.com//realestateandhomes-detail/8680-Pardee-Ln_Saint-Louis_MO_63126_M71441-38220
485,House for Sale,"$139,900","8666 Pardee Ln,",Crestwood,MO,63126,"1,081",3,1.5,https://www.realtor.com//realestateandhomes-detail/8666-Pardee-Ln_Saint-Louis_MO_63126_M79413-20410
486,House for Sale,"$170,000","11637 Denny Rd,",Saint Louis,MO,63126,"1,375",3,2,https://www.realtor.com//realestateandhomes-detail/11637-Denny-Rd_Saint-Louis_MO_63126_M82978-09748
487,House for Sale,"$259,000","616 Clover Ln,",Saint Louis,MO,63126,"1,630",3,2,https://www.realtor.com//realestateandhomes-detail/616-Clover-Ln_Saint-Louis_MO_63126_M72565-06929?ex=MO641125447
488,House for Sale,"$499,000","9410 Oakwood Manor Ln,",Saint Louis,MO,63126,0.29,0,"2,500",https://www.realtor.com//realestateandhomes-detail/9410-Oakwood-Manor-Ln_Saint-Louis_MO_63126_M85394-28421?ex=MO634216175
489,House for Sale,"$139,900","8670 Pardee Rd,",Crestwood,MO,63126,"1,172",3,1,https://www.realtor.com//realestateandhomes-detail/8670-Pardee-Ln_Saint-Louis_MO_63126_M78531-75267
490,Land,"$120,000","10336 Maple Ln,",Saint Louis,MO,63126,0,0.62,0,https://www.realtor.com//realestateandhomes-detail/10336-Maple-Ln_Saint-Louis_MO_63126_M73642-45398
491,House for Sale,"$524,900","14797 Chesterfield Trails Dr,",Chesterfield,MO,63017,"3,168",5,3.5,https://www.realtor.com//realestateandhomes-detail/14797-Chesterfield-Trails-Dr_Chesterfield_MO_63017_M83920-71061
492,House for Sale,"$550,000","1509 Timberbridge Ct,",Chesterfield,MO,63017,"2,776",5,3.5,https://www.realtor.com//realestateandhomes-detail/1509-Timberbridge-Ct_Chesterfield_MO_63017_M77763-79606
493,House for Sale,"$369,900","15380 Red Willow Ct,",Chesterfield,MO,63017,"2,250",4,2.5,https://www.realtor.com//realestateandhomes-detail/15380-Red-Willow-Ct_Chesterfield_MO_63017_M82945-43460
494,House for Sale,"$377,500","15025 Ridge Lake Dr,",Chesterfield,MO,63017,"2,666",4,2.5,https://www.realtor.com//realestateandhomes-detail/15025-Ridge-Lake-Dr_Chesterfield_MO_63017_M72493-33679
495,House for Sale,"$699,750","573 Corley Dr,",Chesterfield,MO,63017,"3,220",4,3.5,https://www.realtor.com//realestateandhomes-detail/573-Corley-Dr_Chesterfield_MO_63017_M87355-13803
496,Condo/Townhome,"$525,000","14371 Cedar Springs Dr,",Chesterfield,MO,63017,"2,540",3,3,https://www.realtor.com//realestateandhomes-detail/14371-Cedar-Springs-Dr_Town-and-Country_MO_63017_M80075-95703
497,House for Sale,"$439,900","1566 Foxham Dr,",Chesterfield,MO,63017,"3,264",5,3.5,https://www.realtor.com//realestateandhomes-detail/1566-Foxham-Dr_Chesterfield_MO_63017_M75731-00004
498,House for Sale,"$245,000","213 River Bend Dr,",Chesterfield,MO,63017,"1,708",3,2,https://www.realtor.com//realestateandhomes-detail/213-River-Bend-Dr_Chesterfield_MO_63017_M72116-17916
